45,13,30,14,50,75,10,1
45,13,30,14,50,75,10,2
45,13,30,14,50,75,10,3
45,13,30,14,50,75,10,4
45,13,30,14,50,75,10,5
45,13,30,14,50,75,10,6
45,13,30,14,50,75,10,7
45,13,30,14,50,75,10,8
45,13,30,14,50,75,10,9
45,13,30,14,50,75,10,10
45,13,30,14,50,75,10,11
45,13,30,14,50,75,10,12
45,13,30,14,50,75,10,13
45,13,30,14,50,75,10,14
45,13,30,14,50,75,10,15
45,13,30,14,50,75,10,16
45,13,30,14,50,75,10,17
45,13,30,14,50,75,10,18
45,13,30,14,50,75,10,19
45,13,30,14,50,75,10,20
45,13,30,14,50,75,10,21
45,13,30,14,50,75,10,22
45,13,30,14,50,75,10,23
45,13,30,14,50,75,10,24
45,13,30,14,50,75,10,25
45,13,30,14,50,75,10,26
45,13,30,14,50,75,10,27
45,13,30,14,50,75,10,28
45,13,30,14,50,75,10,29
45,13,30,14,50,75,10,30
72,14,10,16,20,120,10,1
72,14,10,16,20,120,10,2
72,14,10,16,20,120,10,3
72,14,10,16,20,120,10,4
72,14,10,16,20,120,10,5
72,14,10,16,20,120,10,6
72,14,10,16,20,120,10,7
72,14,10,16,20,120,10,8
72,14,10,16,20,120,10,9
72,14,10,16,20,120,10,10
72,14,10,16,20,120,10,11
72,14,10,16,20,120,10,12
72,14,10,16,20,120,10,13
72,14,10,16,20,120,10,14
72,14,10,16,20,120,7,15
72,14,10,16,20,120,10,16
72,14,10,16,20,120,10,17
72,14,10,16,20,120,10,18
72,14,10,16,20,120,10,19
72,14,10,16,20,120,10,20
72,14,10,16,20,120,10,21
72,14,10,16,20,120,10,22
72,14,10,16,20,120,10,23
72,14,10,16,20,120,10,24
72,14,10,16,20,120,10,25
72,14,10,16,20,120,10,26
72,14,10,16,20,120,10,27
72,14,10,16,20,120,10,28
72,14,10,16,20,120,10,29
72,14,10,16,20,120,8,30
88,12,10,14,30,150,10,1
88,12,10,14,30,150,10,2
88,12,10,14,30,150,10,3
88,12,10,14,30,150,10,4
88,12,10,14,30,150,10,5
88,12,10,14,30,150,10,6
88,12,10,14,30,150,10,7
88,12,10,14,30,150,10,8
88,12,10,14,30,150,10,9
88,12,10,14,30,150,10,10
88,12,10,14,30,150,10,11
88,12,10,14,30,150,10,12
88,12,10,14,30,150,10,13
88,12,10,14,30,150,10,14
88,12,10,14,30,150,10,15
88,12,10,14,30,150,7,16
88,12,10,14,30,150,10,17
88,12,10,14,30,150,10,18
88,12,10,14,30,150,10,19
88,12,10,14,30,150,10,20
88,12,10,14,30,150,10,21
88,12,10,14,30,150,10,22
88,12,10,14,30,150,10,23
88,12,10,14,30,150,10,24
88,12,10,14,30,150,10,25
88,12,10,14,30,150,10,26
88,12,10,14,30,150,10,27
88,12,10,14,30,150,10,28
88,12,10,14,30,150,10,29
88,12,10,14,30,150,10,30
60,12,40,16,10,400,10,1
60,12,40,16,10,400,10,2
60,12,40,16,10,400,10,3
60,12,40,16,10,400,10,4
60,12,40,16,10,400,10,5
60,12,40,16,10,400,10,6
60,12,40,16,10,400,10,7
60,12,40,16,10,400,10,8
60,12,40,16,10,400,10,9
60,12,40,16,10,400,10,10
60,12,40,16,10,400,10,11
60,12,40,16,10,400,10,12
60,12,40,16,10,400,10,13
60,12,40,16,10,400,10,14
60,12,40,16,10,400,10,15
60,12,40,16,10,400,10,16
60,12,40,16,10,400,10,17
60,12,40,16,10,400,10,18
60,12,40,16,10,400,10,19
60,12,40,16,10,400,10,20
60,12,40,16,10,400,10,21
60,12,40,16,10,400,10,22
60,12,40,16,10,400,10,23
60,12,40,16,10,400,10,24
60,12,40,16,10,400,10,25
60,12,40,16,10,400,10,26
60,12,40,16,10,400,10,27
60,12,40,16,10,400,10,28
60,12,40,16,10,400,10,29
60,12,40,16,10,400,10,30
90,14,20,17,30,465,10,1
